,ProductName,PriceSale,Brand,RamCapacity,DisplaySize,DisplayResolution,CPUBrand,PinCapacity,PinCell,Bluetooth,Weight,OS,DiskSpace
115,Laptop Lenovo ideapad 3 14ITL6 82H700VLVN,13990000,LENOVO,8,14.0,1920x1080,INTEL,38.0,2,5,1.41,WINDOW,512
116,Laptop ASUS ROG Flow X13 GV301RC-LJ050W,38690000,ASUS,8,13.4,1920x1200,INTEL,62.0,4,5,1.3,WINDOW,512
117,Laptop Lenovo Ideapad 3 81WH,9790000,LENOVO,4,14.0,1366x768,INTEL,35.0,,5,1.5,WINDOW,128
118,Laptop Acer Gaming Nitro 5 Eagle  AN515-57-71VV NH.QENSV.005,23590000,ACER,8,15.6,1920x1080,INTEL,48.0,,5,2.1,WINDOW,512
119,Laptop Lenovo Thinkbook 16P G2 ACH 20YM003JVN,33490000,LENOVO,16,16.0,2560x1600,INTEL,71.0,4,5,1.99,WINDOW,512
120,Laptop Acer Gaming Predator Helios 300 H315-53-70U6 NH.Q7YSV.002,34590000,ACER,16,15.6,1920x1080,INTEL,59.0,4,5,2.2,WINDOW,512
121,Laptop Lenovo Ideapad Gaming 3 15ACH6 82K2008WVN,17490000,LENOVO,8,15.6,1920x1080,INTEL,45.0,,5,2.25,WINDOW,512
122,Laptop LG Gram 2021 16Z90P-G.AH75A5 16 inch,40690000,LG,16,16.0,2560x1600,INTEL,80.0,,5,1.35,WINDOW,512
123,Laptop Asus Zenbook UX325EA KG656W,20490000,ASUS,8,13.3,1920x1080,INTEL,67.0,4,5,1.14,WINDOW,512
124,Laptop Asus Gaming Tuf FX506HCB HN144W,19990000,ASUS,8,15.6,1920x1080,INTEL,48.0,3,5,2.3,WINDOW,512
125,Laptop Gaming Acer Nitro 5 Eagle AN515-57-5669 NH.QEHSV.001,18990000,ACER,8,15.6,1920x1080,INTEL,57.0,,5,2.2,WINDOW,512
126,Laptop Lenovo Thinkpad E15 Gen 2 20TD00HQVA,17890000,LENOVO,8,15.6,1920x1080,INTEL,45.0,,5,1.7,FREE,256
127,Laptop Lenovo Yoga Slim 7 Pro 14ACH5 82K2008WVN,24990000,LENOVO,16,14.0,2880x1800,INTEL,61.0,,5,1.39,WINDOW,1024
128,Laptop ASUS Gaming ROG Strix G17 G713RM-LL016W,40990000,ASUS,16,17.3,2560x1440,INTEL,90.0,4,5,2.9,WINDOW,512
129,Laptop ASUS Gaming TUF FX506HCB-HN139T,21490000,ASUS,8,15.6,1920x1080,INTEL,48.0,3,5,2.3,WINDOW,512
130,Laptop Acer Aspire 3 A315-56-37DV NX.HS5SV.001,10990000,ACER,4,15.6,1080x1920,INTEL,36.7,2,4,1.7,WINDOW,256
131,Surface Pro 8 Core i7 / 16GB / 256GB Nhập Khẩu Chính Hãng,42490000,MICROSOFT,16,13.0,2880x1920,INTEL,51.5,,5,,WINDOW,256
132,Surface Pro 7 Core i7 / 16GB / 256GB Nhập khẩu Chính Hãng,31290000,MICROSOFT,16,12.3,2736x1824,INTEL,2.0,,5,,WINDOW,256
133,Laptop HP Gaming Victus 16-E0175AX 4R0U8PA,21290000,HP,8,16.1,1920x1080,INTEL,70.0,4,5,2.46,WINDOW,512
134,Laptop ASUS D415DA-EK852T,9590000,ASUS,4,14.0,1920x1080,INTEL,37.0,2,4,1.55,WINDOW,512
135,Laptop ASUS TUF Gaming F15 FX506HC-HN144W,19990000,ASUS,8,15.6,1920x1080,INTEL,48.0,3,5,2.3,WINDOW,512
